text,label
i try not to let my anger seep into reviews but i resent having my time wasted on books like that time is precious,anger
little things like that make me so angry x,anger
sucks depression,sadness
worthless as always depression,sadness
worthless as always,sadness
fibromyalgia has been really bad lately which is not good for my mental state i feel very overwhelmed anxiety bipolar depression,sadness
think ima lay in bed all day and sulk life is hitting me to hard rn,sadness
when i try i fail and when i do not try i still fail confused and lost,sadness
sadness,sadness
life in one word is depressing,sadness
attacks are the worst feeling really sick and still shaking i should be a sleep anxiety depression,sadness
so grim ugly atm,sadness
depression is kicking my ass lately,sadness
my age all i see is gray is it gray because of my bad eyes or my perspective depression healingjustice,sadness
idk why i start feeling so depress sad and lonely,sadness
sulk too much for my own good,sadness
night where depression is winning depression fml help,sadness
home is depressing,sadness
can not even grieve over one black body before another one pops up due to pig brutality,sadness
a gloomy ass day,sadness
wow i am just really sadden by that terrible,sadness
heads still in ibiza but my body is sat at me desk at work depressing,sadness
do not leave me sad,sadness
sucks,sadness
been a week of awful connectivity with tmobile no service or only is not what im paying for unhappy poorservice,sadness
the most depressing shit ever,sadness
the worst place you can be is in your own head n n quotes worstenemy depression thinktoomuch,sadness
my service is down in cleveland oh what is going on unhappy,sadness
a sad evening clearing out all of harvey is cage and belongings now so final goodbye my little man depressing,sadness
you have doe run the opposite side of you depression,sadness
moment of the day when you have to start to plaster a smile in your face depression,sadness
hate when it is gloomy outside because it always gets me in a depressing mood,sadness
stealing things from my work out quite the damper on my day so now i am going to wear pajamas all day,sadness
ring ring depression is here,sadness
now september and we are still battling a situation that was said to be handled march of this year att this is unacceptable unhappy,sadness
yeah i am sure it will it is just so depressing having to talk to my parents over the phone instead of talking to them downstairs,sadness
at home sick the blues will not cure it so i need ideas sorethroat sick blues music fallweather carletonuniversity ottawa,sadness
would not wish anxiety and depression even on the worst of people it is not fun anxiety depression,sadness
main twitter im in depress,sadness
i am surrounded by those trump voters you are right it is fucking terrifying redstate despair,sadness
to the funeral tomorrow at to mourn the death of my gpa,sadness
jesus you just made think that of all the vols v fl games i have seen i have never seen a win depression,sadness
spending debenhams i was offered a voucher i asked if i could spend it at weekend was told no valid today only unhappy,sadness
i had a pretty solid gpa as a kin major and now that i look at the average for dpt programs i feel even more discouraged,sadness
,sadness
a nsaddened heart nso far amp nyet so near nthe years so ntough amp scarred nthis lonesome nroad nstill feared depression n n poetry poem,sadness
officially ends today sadness,sadness
my evaluation came back and i am minimally effective student test scores on the parcc sunk my eval it is time for me to quit teaching,sadness
news fam life is still hard and awful depression anxiety atleastihavebuffy,sadness
i should just get over my depression and be happy do not you think i have tried that thousands of times already you are not helping,sadness
really constipated this is depressing,sadness
health insurance will not cover tms but they let me know they cover ect mentalhealth psychology depression tms ect,sadness
between hope and despair the day after meetingmyabuserincourt n dvsurvivor,sadness
doge e fresh i am despondent,sadness
applications for my dbs and still waiting been over a year now going to loose my job govuk thanks unhappy crb,sadness
miss when social media was a place to get laughs off and jump in dms lol shit is depressing now,sadness
the three r is depress me,sadness
many gloomy days,sadness
weather sure matches the mood in this state today gloomy,sadness
again dirty and self loathing attitude mope talking,sadness
all black tomorrow as i continue to mourn the lives of the most recent victims of police brutality blackout wu,sadness
i the only person who dislikes fall firstdayoffall leaves thingsdie depressing cold noflipflops,sadness
soul is weary of fighting the battles in this world blackinamerica wearenotsafe,sadness
prayers are with the family friends amp members of vcfd as you mourn the loss of engineer ryan osler lodd rip,sadness
wish i was appreciated for all i do when is it my turn to be taken care of i want a break tired,sadness
though lately with how bad my depression has been i feel like my body is like just taking what little it can get,sadness
have left maine sadness,sadness
fucking sad when the person you love does not try fighting for your happiness when you would do anything for them,sadness
charlotteprotest do u wait the facts video or do u hate now ask questions later sad protest policeshootings suggestions,sadness
interesting the photo of mono lisa is crying as well as the whole scene is very depressing,sadness
news is disheartening everything that is going on is a result of a lack of understanding and misinformation by the media sadness,sadness
ever been this unhappy before in my life lmao,sadness
worst possible decision i could have made when arriving in the uk shocking service poor coverage unhappy,sadness
to the jc and the georges family sad,sadness
one wants to win the wild card because you have to play the cubs on the road sadness,sadness
gloom,sadness
do not think i can go to work tomorrow since val has left gbbo i need a day to mourn,sadness
morning lovely people not gonna lie i have woken up feeling pretty glum,sadness
i can not help but feel melancholic,sadness
lraitt horrid disease my maternal grandmother and each of her sisters suffered from this affliction it is hard on all,sadness
anybody needs me i will be drowning my blues in a sea of whiskey,sadness
magstogether my god is jeremycorbyn a full shilling seriously you need a major rethink or no lab gove in your lifetime sad,sadness
health we did a think about depression and now i feel like i have it,sadness
kellee ii seattlepi even hard facts do not seem to be sinking in i despair,sadness
depressing that it is darker so much earlier now,sadness
chrisbosh n to good hearts i lost my job i am responsible families my information in profile even dollar if can t just re tweet,sadness
unfollowing anything relating to disneyworld or florida holidayblues depressing wantogoback,sadness
just begun ladies and gents the war on racism has begun sadness segregation continues smh,sadness
wish i was appreciated for all i do when is it my turn to be taken care of i want a break tired lost,sadness
mary berry mel and sue have gone with their principles and paulhollywood has gone with the fame and fortune gbbo depressing,sadness
it is super sad especially when you are talking to a real person and not a bot makes it feel real,sadness
call me now i am laying in my bed moping like i intend to do for the next months,sadness
sad song prefect night feeling alone,sadness
so gloomy today,sadness
i have come to a place where i keep getting discouraged but just gotta tell myself to keep pushing through it,sadness
kotakbankltd udaykotak official got in touch issue not addressed unhappy patheticservices,sadness
in cardiff after an amazing days away depressing,sadness
lost i am faded,sadness
the worst place you can be is in your own head n n quotes worstenemy thinktoomuch,sadness
just came of at ortambo int at least passengers with broken bags this was a new suitcase unhappy customer,sadness
me how i am supposed to feel broken hateful guilty love sadness,sadness
will be the last episode of despair arc so much shit is gonna happen i am not emotionally prepared,sadness
then maybe we should keep our white mouths shut and let the people being targeted speak and mourn,sadness
cum and despair,sadness
say it again if i was a black man id be afraid to leave my house or have a moving violation n n terrancecrutcher truth sad,sadness
is sad,sadness
pop some pills sedate myself and wake up tomorrow,sadness
seems so sad she stamped and ran behind the sofa we will have to give her plenty of love and affection more than usual sad,sadness
feels like there are no houses out there for us with the most basic requirements i have there are literally no options discouraged,sadness
wanna go to work but i want the money sad,sadness
the denver housing market is depressing no places to buy in my range fml,sadness
ep of despair arc made me happy but and then i am going back to future arc and i am upset again,sadness
have not nap for days in a row i am very unhappy rn,sadness
literally was gloomy for an hour,sadness
do we think the swallows and swifts have gone photo would nights ago not seen since sad autumn,sadness
gutted disheartened amp so pissed off gone from off the toughest most resolute defences to the worst amp most shambolic scfc stohul,sadness
stop do not make me laugh when i am being sad,sadness
to the jc and the georges family,sadness
your ux online is appalling no clear save button not being able to use any generic tld is unhappy,sadness
being here makes me depress tbh,sadness
the ravallirepublic had a good one but then the reporter quit sad,sadness
room is rather dreary but we endure what we must,sadness
broken hearted lovers do cry away their gloom,sadness
grim amp compelling news report by nawalf on the blockade of aid to the starving in yemen bbc dosomethingpoliticans,sadness
lost my xt nova around hole or sadness,sadness
when you click over and over again for a cupcake but there are no vehicles available sadness,sadness
nasty chilly rain has put a damper on my afternoon cigar this is not a good thing cspanwj and four congresscritters tomorrow,sadness
got diagnosed with severe extreme depression and i did not know there was a difference between those two lol,sadness
haiku n nthe crisp autumn air nmy freedom purchased through death nno one will mourn me,sadness
dad is sad,sadness
as a whole are for the most part feeling borderline despair at the very least looking at a situation out of control,sadness
story of my life lost,sadness
will the weeks full of mondays end disheartened,sadness
i am distraught candice and her pout can piss off,sadness
i do not know whether to despair or agitate for a cull,sadness
i just sulk in peace,sadness
sad when your man leaves work a little bit late and your worst fear is oh no did he get stopped by the police sad ourworld,sadness
car is dented from the hail sad,sadness
my head to think it was better but obviously it is not relapse sadness sickness madness misunderstanding,sadness
i was in high school and remember helping neighbors clean up back home in greenville pretty sobering stuff sadness,sadness
have sleep cooties ni close my eyes and dream that i am awake weary sleepissues narcolepsy,sadness
almost all the t mobile stores in san diego are out of replacements sadness i need to get mine replaced,sadness
forgot my hair straightner home i am feeling lost without it lost lostwithoutmyhairstraightener,sadness
i will not even get started with hillary and her fancy fundraisers depressing,sadness
underground at waterloo is not a nice place to be at on a thursday somanypeople grim,sadness
will the weeks full of mondays end,sadness
ew omg that is so grim,sadness
grim really,sadness
loyal heart is concerned somber,sadness
has providing customers w equipment that does not deliver speeds of internet services that they have been charging unhappy scam,sadness
yes too many cops and too many ppl who should have lost their lives r still alive,sadness
you find me lost will you stay as a passerby or will you get lost with me musings melancholy,sadness
getting use to not having a phone it is sad,sadness
slugging vitamin d pills by the handful like they were m amp ms when will this eternal winter end melbourne grim overit,sadness
the support network is causing the damage n n support damaged alone tired hurt nojustice surivivor nomore,sadness
sadly this sort of poster died by the afaik,sadness
sadly not one less hour drinking time,sadness
was in the dark room for minutes and failed every time i tried developing a photo i am so frustrated with myself,sadness
emotions sadness anxietymaybe missingfriends growingupsucks lostfriends wheresthetruefriends complications,sadness
thank you i shall mourn her,sadness
that yearly transition from excited and hopeful college returner to sick and exhausted pessimist college,sadness
but this is no easy ride for a child cries n oh find me find me nothing more nwe are on a sullen misty moor,sadness
to give my afam son this advice today be polite no sudden movements keep hands where they can see them sadness,sadness
southampton will wipe the floor with west ham on sunday so disheartened,sadness
quite simply the worst airline worstairline i have ever used shocking appauling dire dismal beyondajoke useless,sadness
knowing i have to get up at half for gym in the morning it is so depressing,sadness
tried get earlier flt bwi turnd away bcuz it was late then agent let other pas on silvereliteleftbehind unhappy,sadness
all the ex united managers on twitter who form our fanbase honestly i despair at times just back the fucking team eh mufc,sadness
we go back weeks and start again this is seriously dreadful,sadness
honestly upset that they rewarded nicole depressing paulwasrobbed rewardhardwork bitterjury,sadness
have not watched my favorite youtubers in months and it is honestly made my depression so much worse,sadness
endtrumpweek please it is depressing me,sadness
i think sadness is felt very strongly physically and mentally it feels like it takes over and it is hard to focus at work mhchat,sadness
it is old sadly,sadness
sadly not,sadness
tulsa the man onthe helicopter said he looks like a bad dude that is the problem when they see black they see bad sad,sadness
some do not see the difference between courting and appealing to a women vs deception amp pressure it is depressing,sadness
way too hard not to get discouraged,sadness
a very depressed and suicidal person seeing someone sing about their own depressing life yet having fun is very relatable and encouraging,sadness
returned from the dead with a desire to clean the apartment and eat something that is not garbage managing depression,sadness
poor service tonight to find season ticket holders in the seats we purchased online forced to move further away unhappy,sadness
a pencil never stayed with me until it is end,sadness
gutted i dropped one of my earrings down the sink at school,sadness
holiday blues wanttogobacktominehead,sadness
rather die alone then end up with somebody who can not be sober,sadness
do not think it is fully sunk in that val is gone yet,sadness
being sober so i popped two,sadness
pretty clear i can not stand hillaryclinton no tolerance for habitual liars not a trump fan either so what is a citizen to do despair,sadness
hard to tell in your pic my mistake then either way nothing i said initially was about race u took it there sad ignorant,sadness
n momentarily before it disappeared only solemnity and anxiety lacing his features n n i ran out to get you before,sadness
the juniors are now wearing purple at ollafest while i am here fighting with my alarm about when i need to wake up for german sadness,sadness
fact i have not had to wear a bra for a week and knowing i will have to start wearing one again after tomorrow is depressing,sadness
is too distant makes me mourn,sadness
now september and we are still battling a situation that was said to be handled march of this year att this is unacceptable,sadness
weather got me fucked up like you either be sunny and hot or gloomy and cold no in between,sadness
why do i have wait hours to call you back to cancel an order i just placed after already spending hours on the phone sad,sadness
is too short so dont shoot it in with worries sadness and grief,sadness
going to sulk in bed until friday,sadness
nooooooooooooooooooooo we have stupid dismal lame winters where we maybe get some dangerous ice once,sadness
i could have seen her at a local mall or any school football games im disheartened,sadness
great programme tonight sad upsetting extremeworld,sadness
friends tell me i am pretty trigger tells my i am ugly i first was confused but then realised i am both pretty ugly tru sad tumblr,sadness
when my mom told me yesterday that it was looking grim and i started driving out there i was told to turn around b c she was too sick,sadness
the whole it is been hijacked argument the same argument used to ban or discourage the display of the st george is cross shame lbc,sadness
do not want the pity of my instructors but i would like some understanding i am truly trying despite all circumstances that make me discouraged,sadness
mhchat childhood experiences inform adult relationships we have associative memories not a question of ability to process sadness,sadness
payet goes either in jan or the seasons end can not say i blame him the boy must b so disheartened by what he is seeing at the mo,sadness
can not cope wi her sour face and tiny pout,sadness
many things i do not care about and many things i do that i do not speak on because it is such a heaviness even when released,sadness
has providing customers w equipment that does not deliver speeds of internet services that they have been charging scam,sadness
flirt simper pout repeat yuck,sadness
bc it is a gloomy day tony,sadness
my heart actually sunk looooool i was so confused,sadness
eable it is ms btw we were lied to by remain dry your remainer tears just accept you lost,sadness
cant stop i finished dejected luckily no one is in the bathroom so i go to a stall and wait until my pants are dry,sadness
wonder what would happen if i were a father weary,sadness
this is so absurd i could laugh right now if i also did not feel like crying for the future of our country despair wakeupcall,sadness
i could not get on with it either bits started drooping that should not droop gp said mooncup alone to blame,sadness
it happens and vegas is not the only origin thats prevelant sadly,sadness
just have to eat my way to sobriety this will be a hell of a journey back to sober,sadness
you have doe run the opposite side of you,sadness
noh i am sorry about it do not be sad yourself there is nothing important in the world to grieve about it,sadness
of failure of delivery on time a customer has to pay rupees more not good tiagotatamotors tatamotors unhappy,sadness
sterushton genuinely grim stuff over a century of history sold off by some porn baron twats for a minty new stadium urgh,sadness
sad when your man leaves work a little bit late and your worst fear is oh no did he get stopped by the police ourworld,sadness
at least in crystal every part of it is portrayed as being wrong the dark atmosphere the fact that mamoru is brainwashed,sadness
too cool to die young way too young to die sober tunechi,sadness
daraidernation erockhd take out of it the numbers on madden are low and have dropped and people are unhappy,sadness
have no clue where my charger is lost,sadness
this is the most grim piece of laughter i was stricken with all day,sadness
moving clips on youtube tonight of the vigil held at tulsa metropolitan baptist church for terencecruther justice anger sadness,sadness
a nail half hanging off is absolutely fucking grim even with my acrylic holding it on,sadness
geelong football team nlast seen entering through the banner not sure where they have been since unhappy playwithsomeheart,sadness
always unhappy and easily offended,sadness
a sad day of fall i do not dislike fall i just love summer firstdayoffall goodbyesummer sadness bathingsuitsforever,sadness
i am not there yet has not sunk in yet rest up,sadness
of time is awareness of time lost awareness time lost,sadness
i frown and cup your cheeks in my hands after you step aside angela i care about you and i do not know how else i can,sadness
be a loooooong year as a browns fan longer than normal and that is sad,sadness
david milloy ni like your thinking but sadly no that is the shed,sadness
the sadness leaves you broken in your bed i will hold you in the depths of your despair and it is all in the name of love,sadness
substituted the hood for a badge and gun public opinion is indictment of charlotte police dark sadtimes america race,sadness
doing the exact same minus the beer sadly,sadness
miss the guy who always make me sulk,sadness
us not burden our remembrances with a heaviness that is gone n william shakespeare ahead,sadness
fail or pass i refuse to be sober,sadness
why did they want to make you plummet in to the depths of despair,sadness
donlemon trump presidency a dark age for the usa and the world he would most definitely take us to war short amp long term pain,sadness
unbelievably discouraged with music as of late incredibly behind on completing my album not digging this at all,sadness
dreadful mutch is he even on the pitch fryers out of his depth unfortunately cpfc,sadness
you are unhappy with someone just fucking tell them you are unhappy and leave do not go fuckin around with other people on the side,sadness
reports on mama ritamarley health mannn and i woke up today feeling like mi ole self rejoice now dis sadness,sadness
can you blame the manager watching these players play it is abysmal our team are dreadful if jose can not save us no one can mufc,sadness
sorrow is grim reminder of how bad i can be at video games and how i could get a bit too trigger happy at times rip,sadness
kind of confused the one thing i do right now has a great future but on the other hand so does the new thing lost needhelp,sadness
ckolacia msm relentlessly saying dt can not win to depress gop turnout amp provide cover stolen election,sadness
voice is all about miley and alicia this year no longer about the contestants sad thevoice,sadness
i have this one so i am not so sad but wtf,sadness
i may be an sufc fan and the football maybe shit but marcos rojo for mufc has had a shocking start he is just dreadful,sadness
get discouraged because i try for fucking years a contact with lady gaga but are thousands of tweets how she would see my tweet,sadness
show some respect that is all if u havent go to war u cant say anything u havent lost friends and mates on war so ahut it,sadness
to give up on the blue guitar could not stand main character sort of skim read to the end which got grim and unsettling,sadness
a coat now a pair of sunglasses next it will be a limb lost,sadness
of these people at this protest are just there for the adrenaline rush depressing,sadness
i pout i just want adrian to appear and tell me to stop pouting or else,sadness
there is despair underneath each and every action neach and every attempt to pierce the armour of numbness mgla,sadness
bear with me i am not twitter savvy in real life i am a facebook person help me gain followers blog selfhelp depression,sadness
always so insensitive whenever i grieve idgi,sadness
politico steve put a damper on my mood,sadness
lost,sadness
i knew you were going to do that i would definitely buy if i did not live in texas where you can not play dfs so depress,sadness
is fucking dreadful like seriously my month old is better than him,sadness
step forward two steps backward the link to rogerfederershop doesn t work i am losing hope about roger federer new website sadness,sadness
friends tell me i am pretty trigger tells my i am ugly i first was confused but then realised i am both pretty ugly tru tumblr,sadness
what i know of the man i have to assume that realdonaldtrump has had a heated argument with his own penis sad,sadness
sadly his best days are behind him,sadness
mhchat ty i often conflate the two depression sadness but they are very different this q reminded me of that mhchat,sadness
let the behavior of others destroy ur inner peace dalai lama owntv healing depression anxiety intuition meditation book,sadness
business class los angeles to dublin destroyed luggage day customer response time unhappy customer,sadness
fj berry i have got teampaella presents on their way for you and fi but i do not think they will arrive by saturday sadly,sadness
i been in pine bluff all morning and to piss me off even more my damn shoes came in as a size i know i said fml,sadness
do not leave me,sadness
too grim too insanely determined to hurt you from,sadness
the thing is it is either i be unproductive and unhappy or deal with some videos that do badly,sadness
it is fucking dreadful for live footy matches,sadness
an egg is grim you are eating the material embodiment of a fart and an unborn chick,sadness
never call me when your sober,sadness
on let is make em hate make em pout they face,sadness
haha she did well today i can not get beyond her pout annoying me i am afraid,sadness
was an instinct only the reasoning human mind could kill an animal never knew despair,sadness
seems so sad she stamped and ran behind the sofa we will have to give her plenty of love and affection more than usual,sadness
felt dejected he has a dejected aunt,sadness
blankets a hoody and still no eternal sunshine to mope to,sadness
i have sent a pitch to a brand i close all tabs relevant to them instantly thats the kind of detachment i create for myself serious,sadness
looks a lot greener on gloomy dayz,sadness
congratulations my top home owning tip try not to look at your mortgage balance too often the slowness will depress you,sadness
new lock sound is grim,sadness
working you are feeling your life is on the edge could go either way lost all reason for living jesuschristhealssavesask fatloss,sadness
sad music,sadness
val might be going this week i will have to take the rest of the week off work to mourn i am sure they will understand gbbo,sadness
weeks into the course and have had the kitchen sink thrown at me i m still pulling knives and forks out of my ears,sadness
should have stayed in london,sadness
where has your grapefruit squash gone not been able to get for weeks unhappy,sadness
mourn the creativity lost,sadness
i can not have alcohol on it sadly but it only flares up under very specific circumstances so i just need to be more careful,sadness
donte moncrief to my dismal situation blessed,sadness
to the drunk man on the bus who pissed in a bottle and on the seats grim,sadness
know u have too much on ur mind when u find yourself cleaning a stove and kitchen by yourself at almost pensive,sadness
arkansasbbb i filled out the report on baitswitch by carvana lets go get them fines levied badbusiness honoryourdeal unhappy,sadness
something serious rn have not slept but considering taking like benadryl for a min nap i am itching so badly wow,sadness
they are such garbage obviously i like that they suck but it is still grim to watch,sadness
a team as big as bayern and the they like to play football their pitch is fucking dreadful certainly no emirates pitch anyway,sadness
shouting match between a pessimist amp an optimist n you are a half empty headed n you are half full of,sadness
waits for yang guess she really needs her sleep or something kittens feeling kinda dejected right now offline,sadness
just a shame his world was gloom from day one almost though it makes sense he would have the whole part hydra part s h i e l d c,sadness
do u grieve someone who legally was not a person yet,sadness
so gloomy outside i wish it was as cold as it looked,sadness
lost bag stillwaiting go home dm would you my info and have rung a day what more can i do wheresmybag,sadness
you saw a t shirt with the phrase amy mind is a dangerous place to be and you would like to buy but in italy do not sell it sadness,sadness
nephew sees that i have a frown on my face and he tells me you are beautiful,sadness
to take what is lost and broken and make it right,sadness
dobetter only two carriages on birmingham to hereford no room to stand anymore friday commute unhappy,sadness
become a verb i am gonna villase or all those old contacts i do not need anymore sadness melissavcomedy waitingforexplanation,sadness
thedemocrats it is ok be disgusted or dishearten with presidential race but do not let that stop u from voting it matters,sadness
blues while riding a cab home n my belly is much bigger than the rest of my body n but i couldnt be preggy n how to lose it in a day,sadness
say it again if i was a black man id be afraid to leave my house or have a moving violation n n terrancecrutcher truth,sadness
maybe it would have been different if i stayed for sixth form but still the oppressive architecture uninteresting people,sadness
i am confident they will never experience our successes of last best they can hope for is to be another bournemouth sad,sadness
good is that we already hit rock bottom even though i am about two more seasons away from new depths of despair playoffs njdevils,sadness
can not believe the generosity pouring out for us but id give everything i have for nick to be healthy and happy lost,sadness
got his bitch depress,sadness
who do i contact about a shocking experience with clear sky holidays booked through you guys customerservicefail dreadful,sadness
nhl well they should all be unhappy for the way they played right fmjacob,sadness
i guess it must be really expensive for me it is that the whole family stayed in poland so i really miss them,sadness
for the things we did can be tempered by time it is regret for the things we did not do that is inconsolable sydney j harris,sadness
kinda friday dull,sadness
oldest cat pisses me off she is always been weary of kennen senile kinda but recently shes been sweet until she attacked and bit him,sadness
xdd it is a song that can not be weary,sadness
grim not having your nails done,sadness
could such a crooked stuck up delusional dim amp dark hearted dud be surprised losing amp prob also ppl will not let their crimes drop nwo imo,sadness
leave your spine with a frown,sadness
good shorty has so much to offer amp it is sad that some of you niggas do not even see it when she right in front of your face and too late,sadness
noel edmonds reckons a cat he is talking to is stressed because of the uncertainty over gbbo future plot lost,sadness
way ticket to the blues,sadness
how dull,sadness
george h establishment is unhappy trump is campaign branded his son low energy but he could not have beaten the others either,sadness
roho is dreadful,sadness
kind of confused the one thing i do right now has a great future but on the other hand so does the new thing needhelp,sadness
writing my second book tonight somber sad youpromised havemercy author writer needpublisher beingedited workingonsidebook,sadness
taking out his feelings on kei unfairly his lips form a frown as he tries to walk away,sadness
tried get earlier flt bwi turnd away bcuz it was late then agent let other pas on silvereliteleftbehind,sadness
god she warned me before i walked to that sink cause lord knows i would have been sick to my stomach and would have wanted to sue lbvfs,sadness
now yeah i am home again nstill feeling mixed up inside amp kinda gloomy but a little more optimistic that i will figure this out,sadness
dreadful just cleaved off a fraction of my heart,sadness
gundlach calling for rounding top doom and gloom down move,sadness
is far away because time is short no rest for the weary,sadness
let them know it is the blues,sadness
want to help you with your depression give our office a call to learn how tms may be the treatment you have been waiting for,sadness
i dunno i am getting less of the spacious lovely autumnal melancholy from our present apocalypse,sadness
paid to vacuum up rat poop never a dull day in the biology department,sadness
tulsa the man onthe helicopter said he looks like a bad dude that is the problem when they see black they see bad,sadness
we are sadden by this because we always strive to bring the best service to our customer we will always be here for you cm,sadness
needs to tell candice she will be stuck with that shitty pout if the wind changes gbbo,sadness
health insurance will not cover tms but they let me know they cover ect mentalhealth psychology tms ect,sadness
meden is frowning at you with her non existent face,sadness
negative campaign of doom and gloom do not win elections,sadness
you have been on depression too u should not be judging him and exposing him to everyone but helping him,sadness
sadly there is constitutional right to have abortion yet there is constitutional right to life safety net protects those rights,sadness
i am inconsolable at this gif in context,sadness
know this is going to be one of those nights where it takes an act of god to fall asleep,fear
the rock jack black and kevin hart are you kidding me wtf thisisaterribleidea,fear
the rock jack black and kevin hart are you kidding me wtf thisisaterribleidea horrible,fear
my concerns amp anxiety do not matter to you then i shall return the favor eyematter,fear
goes the butterflies in my stomach nervous anxietyproblems,fear
goes the butterflies in my stomach anxietyproblems,fear
mbscbill so that what do to use violence and intimidation for a polictical agenda aka terrorism,fear
there are some awful people on the internet smh,fear
is the android app it designed to be buggy and work sporadically on a fire tv box shocking,fear
yes hun avoid at all costs nightmare,fear
apocalypse has hit our gym and it is nothing what i thought it would be n neveryone is wearing vests what if it is contagious afraid,fear
apocalypse has hit our gym and it is nothing what i thought it would be n neveryone is wearing vests what if it is contagious,fear
officialy adopting burhanwani a hizbul terrorist pakistan n nawazsharif hv md a cardinal mistake tht will haunt fr years unga,fear
brace yourself i will attempt my first loaf of bread in the morning i will use a dutch oven i will make the dough now nervous,fear
so this houses will get into my instestines and scare my poop and i will shit my pants,fear
worse than an uber driver that can not drive awful,fear
worse than an uber driver that can not drive,fear
varneyco foxbusiness to talk latest on chelsea bombing ahmad khan rahami is trips to afghanistan pakistan tcot terror,fear
varneyco foxbusiness to talk latest on chelsea bombing ahmad khan rahami is trips to afghanistan pakistan tcot,fear
frameofanangel n n of them i am here for answers and if i scare her to death there will not be answers for me n nso instead i just,fear
it follows this is a super freaky movie scary,fear
i cried in front of my guy last night and it is just been a horrible week but it is only for a week,fear
in to work today hours thing i hear ama am the big boss has been waiting for you in his office panic hatebeinglate,fear
i had an awful nightmare involving being sick where worms were involved i was so disgusted when i woke up,fear
been really lonely and your phone keeps blowing up but you just can t pick it up and respond to people recluse issues,fear
mustard gas hostile work environment not terrorism call osha not military,fear
y am going to the yorkshire scare grounds when i only lasted a minute in the alton towers one before running out a fire exit crying,fear
fun fact i am afraid,fear
do not want speak front to him afraid intimidate nopanicattack,fear
do not want speak front to him nopanicattack,fear
you are scared to press send bgoodthepoet prayforme thisisagoddream career help fear heart heartracing,fear
you are scared to press send bgoodthepoet prayforme thisisagoddream career help heart heartracing,fear
tmz sports idiots like larry sanders scare us all how can morons these days rush judge police w o all facts yet fu thugs,fear
for ripping me off again luthansa not enough for a one way flight to man from frk then for a bag then free at gate awful,fear
moment you bring her to meet your best friend and you are nervous af thefriendtest,fear
moment you bring her to meet your best friend and you are nervous af nervous thefriendtest,fear
and have social anxiety there is many awkward things wrong with me,fear
terrible,fear
ta get my dontbreathe on up in here warrentheaters nervous icantholdmybreaththatlong,fear
users tweeting on twitter is like playing a game against the computer where is the life everyone too afraid to say something,fear
horrible cos no one can relate everyone is happy and dandy in one way or another,fear
got back from seeing garydelaney in burslem amazing face still hurts from laughing so much hilarious,joy
dear an evening of absolute hilarity i do not think i have laughed so much in a long time,joy
waiting all week for this game cheer friday,joy
thank you so much gloria you are so sweet and thoughtful you just made my day more joyful i love you too,joy
feel so blessed to work with the family that i nanny for nothing but love amp appreciation makes me smile,joy
i reached subscribers on yt goodday thankful,joy
good morning love happy first day of fall let is make some awesome autumnmemories annabailey laughter smile,joy
is the best thing i have seen in ages so funny i have missed bridget love teammark,joy
